route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9,2,1581,"NEW YORK PENN STATION",0,"7832",628
9,2,1582,"NEW YORK PENN STATION",0,"7840",629
9,2,1583,"NEW YORK PENN STATION",0,"7848",630
9,2,1584,"NEW YORK PENN STATION",0,"7856",631
9,2,1585,"NEW YORK PENN STATION",0,"7860",632
9,2,1586,"NEW YORK PENN STATION",0,"7864",633
9,2,1587,"NEW YORK PENN STATION",0,"7868",634
9,2,1588,"NEW YORK PENN STATION",0,"7872",635
9,2,1589,"NEW YORK PENN STATION",0,"7876",636
9,2,1590,"NEW YORK PENN STATION",0,"7804",637
9,2,1591,"NEW YORK PENN STATION",0,"7808",638
9,2,1592,"NEW YORK PENN STATION",0,"7816",639
9,2,1593,"NEW YORK PENN STATION",0,"7844",640
9,2,1594,"NEW YORK PENN STATION",0,"7852",641
9,2,1595,"NEW YORK PENN STATION",0,"7836",642
9,2,1596,"NEW YORK PENN STATION",0,"7880",643
9,1,1597,"NEW YORK PENN STATION",0,"7800",644
9,2,1598,"NEW YORK PENN STATION",0,"7652",645
9,2,1599,"NEW YORK PENN STATION",0,"7656",646
9,2,1600,"NEW YORK PENN STATION",0,"7660",647
9,2,1601,"NEW YORK PENN STATION",0,"7664",648
9,2,1602,"NEW YORK PENN STATION",0,"7668",649
9,2,1603,"NEW YORK PENN STATION",0,"7620",650
9,2,1604,"NEW YORK PENN STATION",0,"7624",651
9,2,1605,"NEW YORK PENN STATION",0,"7628",652
9,2,1606,"NEW YORK PENN STATION",0,"7632",653
9,12,1607,"NEW YORK PENN STATION",0,"3888",654
9,13,1608,"NEW YORK PENN STATION",0,"3888",655
9,4,1609,"NEW YORK PENN STATION",0,"3872",656
9,4,1610,"NEW YORK PENN STATION",0,"3716",657
9,4,1611,"NEW YORK PENN STATION",0,"3720",658
9,4,1612,"NEW YORK PENN STATION",0,"3808",659
9,4,1613,"NEW YORK PENN STATION",0,"3928",660
9,4,1614,"NEW YORK PENN STATION",0,"3934",661
9,4,1615,"NEW YORK PENN STATION",0,"3812",662
9,4,1616,"NEW YORK PENN STATION",0,"3814",663
9,4,1617,"NEW YORK PENN STATION",0,"3864",664
9,4,1618,"NEW YORK PENN STATION",0,"3154",665
9,4,1619,"NEW YORK PENN STATION",0,"3810",666
9,4,1620,"NEW YORK PENN STATION",0,"3858",667
9,4,1621,"NEW YORK PENN STATION",0,"3700",668
9,4,1622,"NEW YORK PENN STATION",0,"3702",669
9,4,1623,"NEW YORK PENN STATION",0,"3868",670
9,4,1624,"NEW YORK PENN STATION",0,"3834",671
9,4,1625,"NEW YORK PENN STATION",0,"3806",672
9,4,1626,"NEW YORK PENN STATION",0,"3838",673
9,4,1627,"NEW YORK PENN STATION",0,"3850",674
9,4,1628,"NEW YORK PENN STATION",0,"3852",675
9,4,1629,"NEW YORK PENN STATION",0,"3856",676
9,4,1630,"NEW YORK PENN STATION",0,"3876",677
9,4,1631,"NEW YORK PENN STATION",0,"3882",678
9,4,1632,"NEW YORK PENN STATION",0,"3892",679
9,4,1633,"NEW YORK PENN STATION",0,"3860",680
9,4,1634,"NEW YORK PENN STATION",0,"3862",681
9,4,1635,"NEW YORK PENN STATION",0,"3880",682
9,4,1636,"NEW YORK PENN STATION",0,"3886",683
9,4,1637,"NEW YORK PENN STATION",0,"3818",684
9,4,1638,"NEW YORK PENN STATION",0,"3866",685
9,3,1639,"NEW YORK PENN STATION",0,"3800",686
9,4,1640,"NEW YORK PENN STATION",0,"3836",687
9,4,1641,"NEW YORK PENN STATION",0,"3840",688
